class,feature0,feature1,feature2,feature3
bg,0.4964609146118164,-0.2947251498699188,-0.06848128139972687,-0.394832968711853
bg,0.6731762290000916,-0.3647118806838989,-0.3137267231941223,-0.39422982931137085
bg,0.6876128911972046,-0.3709760010242462,-0.36545151472091675,-0.4043720066547394
bg,0.6557568907737732,-0.34569230675697327,-0.3222111463546753,-0.37331661581993103
bg,0.6542598009109497,-0.34779173135757446,-0.32489585876464844,-0.3752231001853943
bg,0.6665971875190735,-0.3492558002471924,-0.3191174566745758,-0.3855007290840149
bg,0.66054368019104,-0.35140857100486755,-0.3157077431678772,-0.38103124499320984
bg,0.6602599620819092,-0.3480650782585144,-0.3192157447338104,-0.3767435550689697
bg,0.6672899127006531,-0.3590080142021179,-0.33373576402664185,-0.3903128206729889
bg,0.6781245470046997,-0.35812443494796753,-0.33940422534942627,-0.38295015692710876
bg,0.6879340410232544,-0.36256617307662964,-0.3472982347011566,-0.40206378698349
bg,0.6635380387306213,-0.3429281711578369,-0.3678636848926544,-0.36310437321662903
bg,0.5670337677001953,-0.3004014492034912,-0.3358903229236603,-0.29008564352989197
bg,0.5757084488868713,-0.3020486533641815,-0.2799251079559326,-0.33828437328338623
bg,0.620019257068634,-0.33557039499282837,-0.2517038881778717,-0.3664640784263611
bg,0.654956042766571,-0.3412744700908661,-0.26584044098854065,-0.3673468232154846
bg,0.6355273723602295,-0.3625708222389221,-0.19463227689266205,-0.3697792589664459
bg,0.6797469258308411,-0.3491884768009186,-0.2995457053184509,-0.37454289197921753
bg,0.667953610420227,-0.350227415561676,-0.25151345133781433,-0.3782491683959961
bg,0.6816843152046204,-0.34657829999923706,-0.28315824270248413,-0.3890494108200073
bg,0.673811674118042,-0.35140639543533325,-0.2534179091453552,-0.3970848619937897
bg,0.6580983400344849,-0.3391282260417938,-0.2741049826145172,-0.3698878586292267
bg,0.6462379097938538,-0.3421831429004669,-0.2974395155906677,-0.3534736931324005
bg,0.6288523077964783,-0.33567675948143005,-0.30850985646247864,-0.3319739103317261
bg,0.6210052371025085,-0.33806177973747253,-0.3363112807273865,-0.32066425681114197
bg,0.6041976809501648,-0.33760175108909607,-0.3249816596508026,-0.30630454421043396
bg,0.6015501618385315,-0.33712437748908997,-0.3400328457355499,-0.3100798428058624
bg,0.5901561379432678,-0.33665233850479126,-0.33032938838005066,-0.3035798668861389
bg,0.6080999970436096,-0.3392595648765564,-0.34175699949264526,-0.3254767060279846
bg,0.6045455932617188,-0.34006044268608093,-0.32865121960639954,-0.3201672434806824
bg,0.6174359917640686,-0.3411550223827362,-0.33613550662994385,-0.33665919303894043
bg,0.6191611289978027,-0.34270021319389343,-0.32393860816955566,-0.3350035548210144
bg,0.6323024034500122,-0.34350600838661194,-0.3337322175502777,-0.3530874252319336
bg,0.6348875164985657,-0.34112924337387085,-0.316420316696167,-0.35463911294937134
bg,0.6326553225517273,-0.3416377902030945,-0.32058411836624146,-0.3552149832248688
bg,0.6268263459205627,-0.3378128409385681,-0.31404122710227966,-0.3521350622177124
bg,0.6300925612449646,-0.3446606695652008,-0.32075759768486023,-0.3561989963054657
bg,0.6411240100860596,-0.34793537855148315,-0.33395200967788696,-0.36339783668518066
bg,0.6273393630981445,-0.34180551767349243,-0.32929733395576477,-0.3476041257381439
bg,0.6044138669967651,-0.33847540616989136,-0.30076271295547485,-0.33227360248565674
bg,0.584222137928009,-0.3364729583263397,-0.3257140517234802,-0.3004128634929657
bg,0.5531999468803406,-0.32483044266700745,-0.33624887466430664,-0.27180421352386475
bg,0.551048994064331,-0.32796138525009155,-0.34666764736175537,-0.2550055682659149
bg,0.5125488638877869,-0.3148285746574402,-0.33218953013420105,-0.23260998725891113
bg,0.5196584463119507,-0.315763920545578,-0.3397803008556366,-0.22239850461483002
bg,0.5001080632209778,-0.3067243695259094,-0.3285835385322571,-0.21026884019374847
bg,0.5166946053504944,-0.31303444504737854,-0.3222806751728058,-0.22448717057704926
bg,0.5135931968688965,-0.3095332682132721,-0.30609557032585144,-0.23279230296611786
bg,0.5450468063354492,-0.3173772692680359,-0.31295618414878845,-0.27148959040641785
bg,0.5424338579177856,-0.31672757863998413,-0.2854410409927368,-0.2781420350074768
bg,0.5750042796134949,-0.3247002363204956,-0.2959568202495575,-0.30912330746650696
bg,0.5795929431915283,-0.3249441087245941,-0.27996304631233215,-0.3190324902534485
bg,0.6026901602745056,-0.3296816349029541,-0.285982608795166,-0.3373245596885681
bg,0.5994641780853271,-0.3273170590400696,-0.2645649015903473,-0.33993440866470337
bg,0.6115280985832214,-0.33302563428878784,-0.2737389802932739,-0.3496852219104767
bg,0.608013391494751,-0.3285695016384125,-0.2605742812156677,-0.34872016310691833
bg,0.6128581762313843,-0.33301323652267456,-0.26781532168388367,-0.35625505447387695
bg,0.6061583757400513,-0.3276633620262146,-0.2547953426837921,-0.3541874885559082
bg,0.6103982925415039,-0.3331509232521057,-0.2611656188964844,-0.3580731451511383
bg,0.6092990040779114,-0.3303346335887909,-0.2578352689743042,-0.35780659317970276
bg,0.6232582330703735,-0.3373109996318817,-0.27011963725090027,-0.3669619858264923
bg,0.6334893703460693,-0.34113550186157227,-0.257946640253067,-0.37215012311935425
bg,0.6651332974433899,-0.35529887676239014,-0.2897619307041168,-0.3906209170818329
bg,0.6741527915000916,-0.35378095507621765,-0.2962357997894287,-0.38878577947616577
bg,0.6828544735908508,-0.3561304807662964,-0.3167383670806885,-0.3996635973453522
bg,0.6553358435630798,-0.33629557490348816,-0.31209003925323486,-0.3717690110206604
bg,0.6132742166519165,-0.32507702708244324,-0.27094337344169617,-0.3544086515903473
bg,0.5988721251487732,-0.31286877393722534,-0.22637198865413666,-0.35597214102745056
bg,0.6472396850585938,-0.3374919891357422,-0.23176942765712738,-0.38175904750823975
bg,0.6762959957122803,-0.3463651239871979,-0.25354352593421936,-0.3945083022117615
bg,0.7018110752105713,-0.3625405728816986,-0.3110513985157013,-0.4108649790287018
bg,0.6993463039398193,-0.35774779319763184,-0.311985582113266,-0.4020586609840393
bg,0.6958362460136414,-0.3590807020664215,-0.3095587193965912,-0.4066058099269867
bg,0.6737909913063049,-0.34092506766319275,-0.2923448085784912,-0.3887745440006256
bg,0.665133535861969,-0.33704644441604614,-0.28440919518470764,-0.3860544264316559
bg,0.681483268737793,-0.3408236801624298,-0.29631996154785156,-0.3941722512245178
bg,0.6831871867179871,-0.34834033250808716,-0.2923180162906647,-0.3967794179916382
bg,0.6889575123786926,-0.3472818434238434,-0.2992872893810272,-0.3987964391708374
bg,0.692648708820343,-0.3534694015979767,-0.2980651259422302,-0.4048912525177002
bg,0.6934477686882019,-0.3492748737335205,-0.2839187979698181,-0.4043416976928711
bg,0.6940525770187378,-0.35646870732307434,-0.2976432740688324,-0.40832021832466125
bg,0.6985791325569153,-0.35178038477897644,-0.2973431646823883,-0.40933945775032043
bg,0.7001254558563232,-0.3685797154903412,-0.2918362319469452,-0.42154377698898315
bg,0.7111851572990417,-0.36750173568725586,-0.3122735917568207,-0.4214777946472168
bg,0.7066787481307983,-0.3765847682952881,-0.33137401938438416,-0.41841718554496765
bg,0.7126216292381287,-0.36503875255584717,-0.32016682624816895,-0.41308891773223877
bg,0.6983022093772888,-0.35907411575317383,-0.37115776538848877,-0.3955906331539154
bg,0.6948261260986328,-0.35123082995414734,-0.36549055576324463,-0.3904531002044678
bg,0.6934372782707214,-0.3665772080421448,-0.37626704573631287,-0.3999690115451813
bg,0.6988576054573059,-0.36533209681510925,-0.3763025999069214,-0.40508371591567993
bg,0.695488452911377,-0.3666377365589142,-0.37876084446907043,-0.4049893021583557
bg,0.7004845142364502,-0.3669472336769104,-0.3742952048778534,-0.4053126275539398
bg,0.6910169720649719,-0.3559919595718384,-0.3932325839996338,-0.39746540784835815
bg,0.6940298080444336,-0.35125505924224854,-0.38649457693099976,-0.38641154766082764
bg,0.6743519306182861,-0.34568098187446594,-0.32115358114242554,-0.3913038671016693
