class,feature0,feature1,feature2,feature3
bg,-0.09129917621612549,-0.04786556586623192,-0.21914872527122498,-0.20664077997207642
bg,0.24078533053398132,-0.22951467335224152,-0.21839360892772675,-0.1944979727268219
bg,0.3266581892967224,-0.2414683997631073,-0.26515182852745056,-0.2310124784708023
bg,0.2937523126602173,-0.20254294574260712,-0.26369473338127136,-0.1679968386888504
bg,0.305111825466156,-0.24661009013652802,-0.26662957668304443,-0.24198752641677856
bg,0.3311834931373596,-0.24259017407894135,-0.29246824979782104,-0.2585274577140808
bg,0.30406126379966736,-0.23859958350658417,-0.2522297501564026,-0.2384185642004013
bg,0.3011363446712494,-0.2431669384241104,-0.2675617039203644,-0.228035107254982
bg,0.29486021399497986,-0.23851929605007172,-0.25361168384552,-0.22701647877693176
bg,0.2973211407661438,-0.22986485064029694,-0.2756022810935974,-0.22436249256134033
bg,0.30603301525115967,-0.23933586478233337,-0.2514982521533966,-0.23945485055446625
bg,0.30532288551330566,-0.24725355207920074,-0.2436077892780304,-0.25055405497550964
bg,0.2989974915981293,-0.24296626448631287,-0.22744789719581604,-0.24880029261112213
bg,0.28077346086502075,-0.24195317924022675,-0.21453848481178284,-0.24312059581279755
bg,0.2530333995819092,-0.25620201230049133,-0.18686747550964355,-0.2222520411014557
bg,0.2964002192020416,-0.24676284193992615,-0.2536553144454956,-0.2390759289264679
bg,0.2886176109313965,-0.22638066112995148,-0.24312451481819153,-0.21793970465660095
bg,0.2977331876754761,-0.24677202105522156,-0.2719203233718872,-0.22011665999889374
bg,0.2960902750492096,-0.2350235879421234,-0.2793363630771637,-0.2358349710702896
bg,0.28728577494621277,-0.25641900300979614,-0.2795168459415436,-0.22824594378471375
bg,0.3054194748401642,-0.2361864298582077,-0.26432135701179504,-0.22921350598335266
bg,0.27266427874565125,-0.25167596340179443,-0.24936965107917786,-0.2035403698682785
bg,0.2925252616405487,-0.24406999349594116,-0.27310556173324585,-0.24835433065891266
bg,0.27050909399986267,-0.25200921297073364,-0.25255995988845825,-0.1934838742017746
bg,0.2976602017879486,-0.22329238057136536,-0.2323877513408661,-0.006793809588998556
bg,0.32148268818855286,-0.2147863805294037,-0.2892446517944336,-0.21185116469860077
bg,0.28595179319381714,-0.25279462337493896,-0.2876308262348175,-0.17579711973667145
bg,0.31255269050598145,-0.22842267155647278,-0.2960296869277954,-0.2009560912847519
bg,0.2799205780029297,-0.25285857915878296,-0.251535564661026,-0.20504799485206604
bg,0.31883904337882996,-0.22182080149650574,-0.25590360164642334,-0.2208808958530426
bg,0.2990737855434418,-0.23928774893283844,-0.26696518063545227,-0.21100936830043793
bg,0.3151654899120331,-0.24060621857643127,-0.3105415105819702,-0.23733468353748322
bg,0.3000051975250244,-0.23485282063484192,-0.26319488883018494,-0.23155546188354492
bg,0.3237597346305847,-0.24156180024147034,-0.2858635187149048,-0.24755197763442993
bg,0.2948018014431,-0.24765551090240479,-0.24966290593147278,-0.2383417934179306
bg,0.3052200973033905,-0.23971985280513763,-0.26601940393447876,-0.2438604086637497
bg,0.30438342690467834,-0.25077325105667114,-0.2540408968925476,-0.2523402273654938
bg,0.3101803958415985,-0.24436147511005402,-0.25007691979408264,-0.24239113926887512
bg,0.30550628900527954,-0.24075523018836975,-0.25892579555511475,-0.24637755751609802
bg,0.30742865800857544,-0.24106331169605255,-0.264367938041687,-0.24455413222312927
bg,0.3070513606071472,-0.24043354392051697,-0.257279634475708,-0.24756695330142975
bg,0.2985842227935791,-0.23758947849273682,-0.2774568200111389,-0.25103941559791565
bg,0.29612401127815247,-0.2402476966381073,-0.27476760745048523,-0.24870535731315613
bg,0.30115437507629395,-0.2435843050479889,-0.30460700392723083,-0.2539810240268707
bg,0.28830233216285706,-0.23575696349143982,-0.2851009964942932,-0.2541466951370239
bg,0.28640738129615784,-0.26582539081573486,-0.24142920970916748,-0.2416124939918518
bg,0.28866615891456604,-0.2518668472766876,-0.2778621017932892,-0.23950791358947754
bg,0.2827022671699524,-0.24140453338623047,-0.23631098866462708,-0.22156605124473572
bg,0.23474662005901337,-0.19568248093128204,-0.28138062357902527,-0.2577470541000366
bg,0.28940650820732117,-0.25180235505104065,-0.2375326007604599,-0.14729060232639313
bg,0.3108614385128021,-0.23192021250724792,-0.2754862904548645,-0.22944876551628113
bg,0.2578966021537781,-0.24958814680576324,-0.2440190613269806,-0.1005161702632904
bg,0.32172027230262756,-0.22951152920722961,-0.2528892755508423,-0.23339660465717316
bg,0.3199085593223572,-0.22939163446426392,-0.3301197588443756,-0.2373480200767517
bg,0.2977617681026459,-0.24500514566898346,-0.26335111260414124,-0.23849773406982422
bg,0.27984756231307983,-0.24730335175991058,-0.2600501477718353,-0.230651393532753
bg,0.2808409035205841,-0.24532343447208405,-0.26211094856262207,-0.21425801515579224
bg,0.29019272327423096,-0.2415548413991928,-0.2672118842601776,-0.20825234055519104
bg,0.2897501289844513,-0.2355518639087677,-0.26971569657325745,-0.2331419587135315
bg,0.2932875156402588,-0.24162787199020386,-0.26938310265541077,-0.23942294716835022
bg,0.30464062094688416,-0.23891766369342804,-0.24152658879756927,-0.24272289872169495
bg,0.2801004648208618,-0.24830342829227448,-0.27537259459495544,-0.23101098835468292
bg,0.29535484313964844,-0.24288664758205414,-0.27380478382110596,-0.2258337438106537
bg,0.27645811438560486,-0.24553659558296204,-0.2580711543560028,-0.21044394373893738
bg,0.29960569739341736,-0.23842351138591766,-0.26080965995788574,-0.22605149447917938
bg,0.3040146827697754,-0.22658690810203552,-0.2640388607978821,-0.228951096534729
bg,0.30579274892807007,-0.2345786690711975,-0.2548064589500427,-0.2325025200843811
bg,0.29579851031303406,-0.2577036917209625,-0.25192952156066895,-0.22191525995731354
bg,0.29171672463417053,-0.24843233823776245,-0.2642954885959625,-0.21412739157676697
bg,0.28860506415367126,-0.2464354932308197,-0.2695498764514923,-0.21720099449157715
bg,0.30467748641967773,-0.24035824835300446,-0.2515422999858856,-0.22106969356536865
bg,0.2918354272842407,-0.25019025802612305,-0.2638920843601227,-0.23843379318714142
bg,0.2996944189071655,-0.24647416174411774,-0.27799758315086365,-0.23845601081848145
bg,0.30386632680892944,-0.25357601046562195,-0.2773272395133972,-0.23388072848320007
bg,0.2831534743309021,-0.24838046729564667,-0.27481281757354736,-0.21758748590946198
bg,0.2959006130695343,-0.24609893560409546,-0.2700635492801666,-0.2255009561777115
bg,0.29023411870002747,-0.2505943477153778,-0.2885821461677551,-0.22769448161125183
bg,0.2901202142238617,-0.2272101193666458,-0.24822773039340973,-0.21271514892578125
bg,0.2822556495666504,-0.24974201619625092,-0.27183660864830017,-0.23179079592227936
bg,0.2832993268966675,-0.25466325879096985,-0.272637277841568,-0.23076947033405304
bg,0.2812005877494812,-0.24511124193668365,-0.28716084361076355,-0.2348281741142273
bg,0.29106467962265015,-0.25739654898643494,-0.271078497171402,-0.22962412238121033
bg,0.29391396045684814,-0.24539026618003845,-0.27368617057800293,-0.22638410329818726
bg,0.3078220784664154,-0.246290922164917,-0.2789168953895569,-0.21555498242378235
bg,0.20100408792495728,-0.1886511892080307,-0.12848111987113953,-0.19841349124908447
bg,0.2977170944213867,-0.20167794823646545,-0.19151921570301056,-0.19836775958538055
bg,0.2535954415798187,-0.23045755922794342,-0.18823128938674927,-0.19453959167003632
bg,0.29709017276763916,-0.23537872731685638,-0.2640008330345154,-0.23613357543945312
bg,0.28283029794692993,-0.24377624690532684,-0.26222196221351624,-0.2309577763080597
bg,0.3041951060295105,-0.23658707737922668,-0.25555041432380676,-0.22490660846233368
bg,0.2857249081134796,-0.2380847930908203,-0.23742811381816864,-0.21350759267807007
bg,0.289865642786026,-0.24875226616859436,-0.26269009709358215,-0.23034758865833282
bg,0.2837505340576172,-0.2411523461341858,-0.26835694909095764,-0.2430942952632904
