class,feature0,feature1,feature2,feature3
bg,0.4028887450695038,-0.3306579291820526,-0.40419793128967285,-0.3792381286621094
bg,0.4774874448776245,-0.34563615918159485,-0.3801881968975067,-0.3873097896575928
bg,0.48299768567085266,-0.3542778491973877,-0.31545570492744446,-0.3832795321941376
bg,0.4778903126716614,-0.35753703117370605,-0.331940621137619,-0.35585087537765503
bg,0.48480769991874695,-0.3483043611049652,-0.34175699949264526,-0.3715374767780304
bg,0.48562341928482056,-0.3390396237373352,-0.3652723729610443,-0.40065285563468933
bg,0.4840575158596039,-0.3387276530265808,-0.3593197762966156,-0.40518608689308167
bg,0.47997987270355225,-0.3461097180843353,-0.3696354627609253,-0.39907532930374146
bg,0.4809129536151886,-0.34284546971321106,-0.36739102005958557,-0.4050126373767853
bg,0.47535696625709534,-0.34670290350914,-0.36943569779396057,-0.39867663383483887
bg,0.4713961184024811,-0.34072068333625793,-0.35969477891921997,-0.39907923340797424
bg,0.476051390171051,-0.34446316957473755,-0.344478577375412,-0.3928791284561157
bg,0.472636342048645,-0.33937281370162964,-0.347633421421051,-0.39212098717689514
bg,0.47754549980163574,-0.341797798871994,-0.3508666455745697,-0.3929727375507355
bg,0.477268248796463,-0.34046366810798645,-0.3511485457420349,-0.3959215581417084
bg,0.476889967918396,-0.3421245813369751,-0.3391471207141876,-0.40003257989883423
bg,0.47244200110435486,-0.3420987129211426,-0.35119619965553284,-0.3949154019355774
bg,0.4825190007686615,-0.34579169750213623,-0.3342801630496979,-0.40054988861083984
bg,0.4799501895904541,-0.3479681611061096,-0.33225440979003906,-0.3937007188796997
bg,0.4762478470802307,-0.34265246987342834,-0.3427503705024719,-0.3971022069454193
bg,0.47752144932746887,-0.34315991401672363,-0.34242138266563416,-0.39620721340179443
bg,0.48090243339538574,-0.3463839888572693,-0.3416239321231842,-0.4021715819835663
bg,0.4813068211078644,-0.34725725650787354,-0.3350423574447632,-0.40116220712661743
bg,0.4783359467983246,-0.3451758325099945,-0.34138303995132446,-0.4025990962982178
bg,0.4748845398426056,-0.3437495529651642,-0.33105868101119995,-0.3991834223270416
bg,0.4870806336402893,-0.34892141819000244,-0.3403576612472534,-0.4052532911300659
bg,0.4725097417831421,-0.3444982171058655,-0.3195658326148987,-0.40106773376464844
bg,0.4806143343448639,-0.34607887268066406,-0.34694212675094604,-0.39882132411003113
bg,0.4911825954914093,-0.3501746356487274,-0.32983243465423584,-0.3994585871696472
bg,0.47988417744636536,-0.3463013768196106,-0.337422639131546,-0.4070848822593689
bg,0.4730078876018524,-0.3448447585105896,-0.3168078660964966,-0.4049083888530731
bg,0.4826447069644928,-0.3502512574195862,-0.32063499093055725,-0.4054490029811859
bg,0.4739561378955841,-0.35372141003608704,-0.30895912647247314,-0.40276744961738586
bg,0.4720345735549927,-0.3523913025856018,-0.3244873583316803,-0.4078235328197479
bg,0.4579342007637024,-0.35497117042541504,-0.28962960839271545,-0.40088140964508057
bg,0.4727856516838074,-0.3531278669834137,-0.3173571228981018,-0.40322139859199524
bg,0.4593675136566162,-0.3608962297439575,-0.31342989206314087,-0.3818802535533905
bg,0.44918498396873474,-0.3572884798049927,-0.3153823912143707,-0.39928096532821655
bg,0.48163291811943054,-0.3486228287220001,-0.3235841989517212,-0.4050091505050659
bg,0.4845246374607086,-0.34897834062576294,-0.342315137386322,-0.40663644671440125
bg,0.4859635829925537,-0.34645551443099976,-0.33716610074043274,-0.40352270007133484
bg,0.4775545001029968,-0.34668442606925964,-0.3541748821735382,-0.4004036486148834
bg,0.47715887427330017,-0.34472018480300903,-0.3544847369194031,-0.3938907980918884
bg,0.47490280866622925,-0.34796956181526184,-0.36925482749938965,-0.38799992203712463
bg,0.47605791687965393,-0.3457227349281311,-0.35170072317123413,-0.3973119854927063
bg,0.47785094380378723,-0.3453959822654724,-0.35658133029937744,-0.39104849100112915
bg,0.4847351610660553,-0.3407256305217743,-0.3508374094963074,-0.3887621760368347
bg,0.48856332898139954,-0.3506145477294922,-0.34952107071876526,-0.3996260464191437
bg,0.4916926622390747,-0.3570789396762848,-0.31961917877197266,-0.40334218740463257
bg,0.4875514507293701,-0.3516448140144348,-0.3363352119922638,-0.39745795726776123
bg,0.48364293575286865,-0.3452405035495758,-0.33290258049964905,-0.39565110206604004
