class,feature0,feature1,feature2,feature3
bg,0.4529162049293518,-0.3030725121498108,-0.3845932185649872,-0.4415149688720703
bg,0.5219458937644958,-0.32349061965942383,-0.3766079246997833,-0.44692128896713257
bg,0.5364897847175598,-0.3226032555103302,-0.3315238654613495,-0.4436016082763672
bg,0.5270487070083618,-0.32012632489204407,-0.35943782329559326,-0.44317230582237244
bg,0.5270203351974487,-0.3211864233016968,-0.3565172553062439,-0.45167574286460876
bg,0.5256458520889282,-0.3250166177749634,-0.35309669375419617,-0.45511817932128906
bg,0.5246107578277588,-0.3267599940299988,-0.34388279914855957,-0.454536110162735
bg,0.5251349806785583,-0.3286645710468292,-0.3414333760738373,-0.455759733915329
bg,0.5251651406288147,-0.3301161825656891,-0.33572903275489807,-0.4563343822956085
bg,0.5259145498275757,-0.3367062509059906,-0.3386995792388916,-0.4513287842273712
bg,0.5201878547668457,-0.3272603452205658,-0.34829893708229065,-0.455629825592041
bg,0.5214806199073792,-0.32710152864456177,-0.34583836793899536,-0.4575757086277008
bg,0.5248810052871704,-0.32574254274368286,-0.35115480422973633,-0.4590171277523041
bg,0.5214077830314636,-0.3315443694591522,-0.3559974730014801,-0.457010418176651
bg,0.5261500477790833,-0.3275899291038513,-0.35240867733955383,-0.45767873525619507
bg,0.5239878296852112,-0.3295094072818756,-0.3557871878147125,-0.4517419934272766
bg,0.5235465168952942,-0.32749369740486145,-0.3565305173397064,-0.44731995463371277
bg,0.5204592943191528,-0.3298998773097992,-0.35729625821113586,-0.4432393014431
bg,0.52158522605896,-0.33527395129203796,-0.3412375748157501,-0.4368543326854706
bg,0.521935224533081,-0.33657509088516235,-0.3430248200893402,-0.41953739523887634
bg,0.5356605648994446,-0.3269509971141815,-0.3613545894622803,-0.439604252576828
bg,0.5385168194770813,-0.3180866241455078,-0.37702059745788574,-0.45962122082710266
bg,0.5332646369934082,-0.3218110203742981,-0.37463822960853577,-0.45919376611709595
bg,0.5333547592163086,-0.32857492566108704,-0.36419475078582764,-0.45737308263778687
bg,0.5252073407173157,-0.32625994086265564,-0.3627551198005676,-0.447722464799881
bg,0.5244675278663635,-0.32712608575820923,-0.3626333475112915,-0.44259026646614075
bg,0.5352988839149475,-0.32698601484298706,-0.35157230496406555,-0.44573143124580383
bg,0.5358983874320984,-0.3235624432563782,-0.3611682951450348,-0.4508441686630249
bg,0.5339059233665466,-0.318342000246048,-0.35763952136039734,-0.45390060544013977
bg,0.5291334986686707,-0.3235280513763428,-0.36829283833503723,-0.4468452036380768
bg,0.530991792678833,-0.32030704617500305,-0.35903501510620117,-0.44873660802841187
bg,0.5376954674720764,-0.3258622884750366,-0.35196447372436523,-0.45180267095565796
bg,0.5355929732322693,-0.3264024257659912,-0.3449477255344391,-0.4569525420665741
bg,0.5295974612236023,-0.32512280344963074,-0.3501797318458557,-0.4542887210845947
bg,0.525885283946991,-0.3237932026386261,-0.3569585978984833,-0.45003265142440796
bg,0.5421339273452759,-0.3346579074859619,-0.33681830763816833,-0.45738494396209717
bg,0.5349708795547485,-0.3245597183704376,-0.34664270281791687,-0.4582297205924988
bg,0.5305157899856567,-0.32130923867225647,-0.35559338331222534,-0.44935810565948486
bg,0.5379870533943176,-0.32672175765037537,-0.3522147238254547,-0.45185917615890503
bg,0.5285484790802002,-0.33201339840888977,-0.3559316098690033,-0.44923219084739685
bg,0.5255374312400818,-0.3237153887748718,-0.36141276359558105,-0.44440749287605286
bg,0.5438843965530396,-0.33184337615966797,-0.34328243136405945,-0.45348840951919556
bg,0.5344840884208679,-0.3186720609664917,-0.36869558691978455,-0.454326331615448
bg,0.5307561755180359,-0.32119831442832947,-0.37435030937194824,-0.44615501165390015
bg,0.5409767627716064,-0.3279871642589569,-0.3727860450744629,-0.45569926500320435
